ID,Division,Line,station_name,station_lat,station_long,num_lines
15,IRT,Broadway-7th Ave,Marble Hill-225th St,40.874561,-73.909831,1
20,IRT,Broadway-7th Ave,215th St,40.869444,-73.915279,1
21,IND,8 Avenue,Inwood - 207th St,40.868072,-73.919899,1
24,IND,8 Avenue,Dyckman St-200th St,40.865491,-73.927271,1
26,IRT,Broadway-7th Ave,207th St,40.864614,-73.918819,1
29,IRT,Broadway-7th Ave,Dyckman St,40.860531,-73.925536,1
30,IND,8 Avenue,190th St,40.859022,-73.93418,1
35,IRT,Broadway-7th Ave,191st St,40.855225,-73.929412,1
39,IND,8 Avenue,181st St,40.851695,-73.937969,1
41,IRT,Broadway-7th Ave,181st St,40.849505,-73.933596,1
44,IND,8 Avenue,175th St,40.847391,-73.939704,1
50,IND,8 Avenue,168th St - Washington Heights,40.840719,-73.939561,2
51,IRT,Broadway-7th Ave,168th St,40.840556,-73.940133,1
58,IND,8 Avenue,163rd St - Amsterdam Av,40.836013,-73.939892,1
61,IRT,Broadway-7th Ave,157th St,40.834041,-73.94489,1
65,IND,8 Avenue,155th St,40.830518,-73.941514,1
66,IND,Concourse,155th St,40.830135,-73.938209,2
72,IRT,Broadway-7th Ave,145th St,40.826551,-73.95036,1
74,IND,8 Avenue,145th St,40.824783,-73.944216,4
76,IRT,Lenox,Harlem-148th St,40.82388,-73.93647,1
78,IRT,Broadway-7th Ave,137th St-City College,40.822008,-73.953676,1
80,IRT,Lenox,145th St,40.820421,-73.936245,1
83,IND,8 Avenue,135th St,40.817894,-73.947649,2
87,IRT,Broadway-7th Ave,125th St,40.815581,-73.958372,1
88,IRT,Lenox,135th St,40.814229,-73.94077,2
91,IND,8 Avenue,125th St,40.811109,-73.952343,4
94,IRT,Lenox,125th St,40.807754,-73.945495,2
95,IRT,Broadway-7th Ave,116th St-Columbia University,40.807722,-73.96411,1
98,IND,8 Avenue,116th St,40.805085,-73.954882,2
99,IRT,Lexington,125th St,40.804138,-73.937594,3
100,IRT,Broadway-7th Ave,Cathedral Parkway-110th St,40.803967,-73.966847,1
101,IRT,Lenox,116th St,40.802098,-73.949625,2
102,IND,8 Avenue,Cathedral Parkway-110th St,40.800605,-73.958158,2
103,IRT,Broadway-7th Ave,103rd St,40.799446,-73.968379,1
104,IRT,Lenox,110th St-Central Park North,40.799075,-73.951822,2
105,IRT,Lexington,116th St,40.798629,-73.941617,1
106,IND,8 Avenue,103rd St,40.796092,-73.961454,2
107,IRT,Lexington,110th St,40.79502,-73.94425,1
108,IRT,Broadway-7th Ave,96th St,40.793919,-73.972323,3
109,IND,8 Avenue,96th St,40.791646,-73.964699,2
110,IRT,Lexington,103rd St,40.7906,-73.947478,1
111,IRT,Broadway-7th Ave,86th St,40.788644,-73.976218,1
112,IND,8 Avenue,86th St,40.785868,-73.968916,2
113,IRT,Lexington,96th St,40.785672,-73.95107,1
114,IRT,Broadway-7th Ave,79th St,40.783934,-73.979917,1
115,IND,8 Avenue,81st St - Museum of Natural History,40.781433,-73.972143,2
116,IRT,Lexington,86th St,40.779492,-73.955589,3
117,IRT,Broadway-7th Ave,72nd St,40.778453,-73.98197,3
118,IND,8 Avenue,72nd St,40.775594,-73.97641,2
120,IRT,Lexington,77th St,40.77362,-73.959874,1
121,IRT,Broadway-7th Ave,66th St-Lincoln Center,40.77344,-73.982209,1
123,IND,8 Avenue,59th St,40.768296,-73.981736,4
124,IRT,Broadway-7th Ave,59th St-Columbus Circle,40.768247,-73.981929,1
125,IRT,Lexington,68th St-Hunter College,40.768141,-73.96387,1
127,BMT,Broadway,5th Av,40.764811,-73.973347,3
128,BMT,Broadway,57th St,40.764664,-73.980658,4
129,IND,63rd Street,Lexington Av,40.764627,-73.96611,2
130,IND,6 Avenue,57th St,40.763972,-73.97745,1
131,IND,Queens Boulevard,7th Av,40.762862,-73.981637,3
132,BMT,Broadway,Lexington Av,40.76266,-73.967258,3
133,IRT,Lexington,59th St,40.762526,-73.967967,3
134,IND,8 Avenue,50th St,40.762456,-73.985984,2
136,IRT,Broadway-7th Ave,50th St,40.761728,-73.983849,1
137,IND,Queens Boulevard,5th Av-53rd St,40.760167,-73.975224,2
138,BMT,Broadway,49th St,40.759901,-73.984139,3
141,IND,6 Avenue,47-50th Sts Rockefeller Center,40.758663,-73.981329,4
142,IND,Queens Boulevard,Lexington Av-53rd St,40.757552,-73.969055,2
143,IND,8 Avenue,42nd St,40.757308,-73.989735,3
144,IRT,Lexington,51st St,40.757107,-73.97192,1
148,IRT,42nd St Shuttle,Times Square,40.755983,-73.986229,1
149,IRT,Flushing,34 St Hudson Yards,40.755882,-74.00191,1
150,IRT,Broadway-7th Ave,Times Square,40.75529,-73.987495,4
151,BMT,Broadway,Times Square-42nd St,40.754672,-73.986754,4
153,IND,6 Avenue,42nd St,40.754222,-73.984569,4
154,IND,63rd Street,21st St,40.754203,-73.942836,1
155,IRT,Flushing,5th Av,40.753821,-73.981963,1
158,IRT,42nd St Shuttle,Grand Central,40.752769,-73.979189,1
159,IND,8 Avenue,34th St,40.752287,-73.993391,3
161,IRT,Lexington,Grand Central-42nd St,40.751776,-73.976848,3
163,IRT,Flushing,Grand Central-42nd St,40.751431,-73.976041,1
165,IRT,Broadway-7th Ave,34th St,40.750373,-73.991057,3
167,IND,6 Avenue,34th St,40.749719,-73.987823,4
168,IND,Queens Boulevard,65th St,40.749669,-73.898453,2
169,BMT,Broadway,34th St,40.749567,-73.98795,4
175,IRT,Broadway-7th Ave,28th St,40.747215,-73.993365,1
181,IRT,Lexington,33rd St,40.746081,-73.982076,1
182,IND,8 Avenue,23rd St,40.745906,-73.998041,2
184,BMT,Broadway,28th St,40.745494,-73.988691,2
187,IRT,Broadway-7th Ave,23rd St,40.744081,-73.995657,1
191,IRT,Lexington,28th St,40.74307,-73.984264,1
192,IND,6 Avenue,23rd St,40.742878,-73.992821,2
196,BMT,Broadway,23rd St,40.741303,-73.989344,2
197,IRT,Broadway-7th Ave,18th St,40.74104,-73.997871,1
198,IND,8 Avenue,14th St,40.740893,-74.00169,4
199,IRT,Lexington,23rd St,40.739864,-73.986599,1
200,BMT,Canarsie,8th Av,40.739777,-74.002578,4
201,IND,6 Avenue,14th St,40.738228,-73.996209,2
202,IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,3
203,BMT,Canarsie,6th Av,40.737335,-73.996786,1
205,BMT,Broadway,Union Square,40.735736,-73.990568,4
206,BMT,Canarsie,Union Square,40.734789,-73.99073,1
207,IRT,Lexington,14th St-Union Square,40.734673,-73.989951,3
208,IRT,Broadway-7th Ave,Christopher St,40.733422,-74.002906,1
210,BMT,Canarsie,3rd Av,40.732849,-73.986122,1
211,IND,8 Avenue,West 4th St,40.732338,-74.000495,7
213,BMT,Canarsie,1st Av,40.730953,-73.981628,1
214,BMT,Broadway,8th St,40.730328,-73.992629,2
215,IRT,Lexington,Astor Place,40.730054,-73.99107,1
217,IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1
219,IND,8 Avenue,Spring St,40.726227,-74.003739,2
220,IRT,Lexington,Bleecker St,40.725915,-73.994659,1
221,IND,6 Avenue,Broadway-Lafayette St,40.725297,-73.996204,4
222,IND,Crosstown,Nassau Av,40.724635,-73.951277,1
223,BMT,Broadway,Prince St,40.724329,-73.997702,2
224,IND,6 Avenue,2nd Av,40.723402,-73.989938,1
225,IRT,Broadway-7th Ave,Canal St,40.722854,-74.006277,1
226,IRT,Lexington,Spring St,40.722301,-73.997141,1
228,IND,8 Avenue,Canal St,40.720824,-74.005229,3
229,BMT,Nassau,Bowery,40.72028,-73.993915,2
230,BMT,Broadway,Canal St (UL),40.719527,-74.001775,4
231,IRT,Broadway-7th Ave,Franklin St,40.719318,-74.006886,1
232,IRT,Lexington,Canal St,40.718803,-74.000193,1
233,IND,6 Avenue,Delancey St,40.718611,-73.988114,1
234,IND,Queens Boulevard,75th Av,40.718331,-73.837324,2
235,BMT,Nassau,Essex St,40.718315,-73.987437,3
236,IND,6 Avenue,Grand St,40.718267,-73.993753,2
237,BMT,Nassau,Canal St,40.718092,-73.999892,2
239,IRT,Broadway-7th Ave,Chambers St,40.715478,-74.009266,3
243,IND,8 Avenue,Chambers St,40.714111,-74.008585,2
247,IND,6 Avenue,East Broadway,40.713715,-73.990173,1
248,BMT,Broadway,City Hall,40.713282,-74.006978,2
249,BMT,Nassau,Chambers St,40.713243,-74.003401,2
250,IRT,Lexington,Brooklyn Bridge-City Hall,40.713065,-74.004131,3
251,IRT,Clark,Park Place,40.713051,-74.008811,2
256,IND,8 Avenue,World Trade Center,40.712582,-74.009781,1
257,IRT,Broadway-7th Ave,WTC Cortlandt,40.711731,-74.012135,1
262,BMT,Broadway,Cortlandt St,40.710668,-74.011029,2
264,BMT,Nassau,Fulton St,40.710374,-74.007582,2
265,IRT,Lexington,Fulton St,40.710368,-74.009509,2
266,IND,8 Avenue,Broadway-Nassau,40.710197,-74.007691,2
267,IRT,Clark,Fulton St,40.709416,-74.006571,2
272,IRT,Lexington,Wall St,40.707557,-74.011862,2
273,IRT,Broadway-7th Ave,Rector St,40.707513,-74.013783,1
274,BMT,Broadway,Rector St,40.70722,-74.013342,2
276,IRT,Clark,Wall St,40.706821,-74.0091,2
